TC20 UVIS_COP_ROW,Ingress solar occultation observation number,Orbit type,Observation Mode,Comments
391,1,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,2,1,Ingress Occultation,UVIS Switch OFF
-1,3,1,Ingress Occultation,UVIS Switch OFF
391,4,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,5,1,Ingress Occultation,UVIS Switch OFF
-1,6,1,Ingress Occultation,UVIS Switch OFF
391,7,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,8,1,Ingress Occultation,UVIS Switch OFF
-1,9,1,Ingress Occultation,UVIS Switch OFF
391,10,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,11,1,Ingress Occultation,UVIS Switch OFF
-1,12,1,Ingress Occultation,UVIS Switch OFF
364,13,1,Ingress Occultation,# SO: Full Frame (135:205;0:1047) - Tint = 75 ms -16 bit - Rhythm = 3574 ms
-1,14,1,Ingress Occultation,UVIS Switch OFF
-1,15,1,Ingress Occultation,UVIS Switch OFF
391,16,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
391,17,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,18,1,Ingress Occultation,UVIS Switch OFF
391,19,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,20,1,Ingress Occultation,UVIS Switch OFF
-1,21,1,Ingress Occultation,UVIS Switch OFF
391,22,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,23,1,Ingress Occultation,UVIS Switch OFF
-1,24,1,Ingress Occultation,UVIS Switch OFF
391,25,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,26,1,Ingress Occultation,UVIS Switch OFF
364,27,1,Ingress Occultation,# SO: Full Frame (135:205;0:1047) - Tint = 75 ms -16 bit - Rhythm = 3574 ms
391,28,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,29,1,Ingress Occultation,UVIS Switch OFF
-1,30,1,Ingress Occultation,UVIS Switch OFF
391,31,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,32,1,Ingress Occultation,UVIS Switch OFF
-1,33,1,Ingress Occultation,UVIS Switch OFF
391,34,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,35,1,Ingress Occultation,UVIS Switch OFF
-1,36,1,Ingress Occultation,UVIS Switch OFF
391,37,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,38,1,Ingress Occultation,UVIS Switch OFF
-1,39,1,Ingress Occultation,UVIS Switch OFF
391,40,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,41,1,Ingress Occultation,UVIS Switch OFF
-1,42,1,Ingress Occultation,UVIS Switch OFF
391,43,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,44,1,Ingress Occultation,UVIS Switch OFF
-1,45,1,Ingress Occultation,UVIS Switch OFF
391,46,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,47,1,Ingress Occultation,UVIS Switch OFF
-1,48,1,Ingress Occultation,UVIS Switch OFF
391,49,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,50,1,Ingress Occultation,UVIS Switch OFF
-1,51,1,Ingress Occultation,UVIS Switch OFF
391,52,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
391,53,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,54,1,Ingress Occultation,UVIS Switch OFF
-1,55,1,Ingress Occultation,UVIS Switch OFF
