S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2020 DEC 03 10:51:00,-51.9579,-163.6713,251.5815,14.7967,50.6722,6.379e-14,50.6722
TGO,2020 DEC 03 10:45:00,-53.1507,-165.4258,381.8777,14.5825,49.7715,1.0546,49.9318

MRO,2020 DEC 03 16:24:00,-63.4591,117.415,250.9646,14.9372,58.2603,1.778e-14,58.2603
TGO,2020 DEC 03 16:42:00,-61.8896,116.3004,378.3229,15.1547,58.5701,0.51674,58.5243

MRO,2020 DEC 06 13:33:00,-65.3314,-171.7237,250.6576,14.9592,60.0604,2.324e-14,60.0604
TGO,2020 DEC 06 13:30:00,-65.0107,-171.9969,381.8013,14.8922,59.5355,0.38985,59.4193

MRO,2020 DEC 08 06:39:00,-69.6673,-50.1379,251.1739,15.0644,63.5354,1.1901e-14,63.5354
TGO,2020 DEC 08 06:48:00,-69.4231,-49.958,379.7844,15.2225,64.0424,0.54887,64.0325

MRO,2020 DEC 11 09:24:00,-73.0361,-59.7121,249.6378,15.1758,66.6425,3.8726e-14,66.6425
TGO,2020 DEC 11 09:30:00,-72.2156,-58.6519,378.7782,15.3439,66.7535,0.38438,66.7987

MRO,2020 DEC 22 10:48:00,-76.2328,28.1299,252.1694,15.3386,71.3561,8.1089e-15,71.3561
TGO,2020 DEC 22 10:51:00,-74.5224,29.0845,380.338,15.4508,70.6994,0.38027,70.7478

MRO,2020 DEC 25 15:27:00,-73.0527,-13.0509,252.3998,15.1969,69.6501,1.2821e-14,69.6501
TGO,2020 DEC 25 15:30:00,-74.2002,-12.5817,378.6316,15.2769,70.6155,0.37686,70.6551

