S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2022 MAY 17 19:12:00,-72.1965,-55.9393,251.3499,3.0608,83.7973,4.6337e-14,83.7973
TGO,2022 MAY 17 18:57:00,-72.2665,-54.8679,379.0809,2.8892,84.2677,0.31434,84.5631

MRO,2022 MAY 30 11:57:00,-76.6295,172.298,254.1629,2.7708,79.126,1.9093e-14,79.126
TGO,2022 MAY 30 11:36:00,-75.9177,175.8529,378.2367,2.6675,79.9067,0.30624,80.1799

MRO,2022 MAY 30 17:33:00,-74.7979,91.6792,251.8458,2.8444,80.3172,6.4383e-15,80.3172
TGO,2022 MAY 30 17:30:00,-75.9542,93.1827,379.8619,2.8961,79.3203,1.4594,80.6605

MRO,2022 JUN 02 22:12:00,-75.6325,51.9309,251.6211,2.765,79.393,5.0113e-14,79.393
TGO,2022 JUN 02 22:09:00,-75.6949,51.0884,380.2086,2.6603,79.5822,0.30789,79.8578

MRO,2022 JUN 06 08:27:00,-75.3422,-68.24,252.0033,2.7711,79.1199,1.8357e-14,79.1199
TGO,2022 JUN 06 08:42:00,-74.9253,-72.76,381.54,2.7131,79.5793,0.31004,79.8601

MRO,2022 JUN 09 05:36:00,-72.8648,3.8669,252.1728,2.8503,80.437,6.389e-15,80.437
TGO,2022 JUN 09 05:30:00,-73.3005,6.9998,377.9904,2.9619,79.7969,0.30847,80.0839

