Orbit Index	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	2019 JAN 26 14:47:50	2019 JAN 26 15:17:17	2019 JAN 26 15:46:44	3534.0	158.9	-59.8	-35.1	-46.6	-37.8	47.4	96.7	4.8	3	-	-	-		
1	2019 JAN 26 15:46:44	2019 JAN 26 16:16:29	2019 JAN 26 16:46:14	3569.6	-35.1	105.5	130.8	47.4	38.2	-48.1	83.2	16.7	3	H2O 2SUBD 01	Science: orders #167, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
2	2019 JAN 26 16:46:14	2019 JAN 26 17:15:41	2019 JAN 26 17:45:07	3533.4	130.8	-88.1	-63.2	-48.1	-36.2	48.9	96.9	4.8	8	-	-	-		
2	2019 JAN 26 17:45:07	2019 JAN 26 18:14:50	2019 JAN 26 18:44:32	3565.1	-63.2	77.2	102.7	48.9	36.7	-49.5	83.1	16.8	8	Limb 2SUBD 01	Science: orders #161, #162, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
3	2019 JAN 26 18:44:32	2019 JAN 26 19:13:56	2019 JAN 26 19:43:20	3527.9	102.7	-116.5	-91.4	-49.5	-34.9	50.1	97.1	4.8	4	-	-	-		
3	2019 JAN 26 19:43:20	2019 JAN 26 20:13:01	2019 JAN 26 20:42:42	3561.3	-91.4	48.7	74.4	50.1	35.6	-50.5	82.8	16.8	4	-		3x COP rows 91: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 30222 ms, Binning=0		
4	2019 JAN 26 20:42:42	2019 JAN 26 21:12:04	2019 JAN 26 21:41:27	3525.5	74.4	-145.1	-119.7	-50.5	-34.0	50.8	97.3	4.8	8	-	-	-		
4	2019 JAN 26 21:41:27	2019 JAN 26 22:11:07	2019 JAN 26 22:40:48	3560.3	-119.7	20.0	46.1	50.8	34.8	-51.2	82.6	16.8	8	Limb 2SUBD 03	Science: orders #163, #164, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 82: NADIR: Full Frame (57:240;0:1047),Tint = 10000 ms,16 bit,Rhythm = 20148 ms, Binning=0		
5	2019 JAN 26 22:40:48	2019 JAN 26 23:10:12	2019 JAN 26 23:39:37	3529.6	46.1	-173.8	-148.0	-51.2	-33.1	51.7	97.6	4.8	3	-	-	-		
5	2019 JAN 26 23:39:37	2019 JAN 27 00:09:18	2019 JAN 27 00:38:59	3562.2	-148.0	-8.7	17.8	51.7	33.9	-52.1	82.3	16.8	3	HDO H2O 2SUBD 01	Science: orders #121, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 78: NADIR: Full Frame (57:240;0:1047),Tint = 7000 ms,16 bit,Rhythm = 20148 ms, Binning=0		
6	2019 JAN 27 00:38:59	2019 JAN 27 01:08:25	2019 JAN 27 01:37:51	3531.7	17.8	157.5	-176.2	-52.1	-32.2	52.6	97.8	4.8	17	-	-	COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0		
