TC20 UVIS_COP_ROW,Dayside nadir observation number,Orbit type,Observation Mode,Comments
64,1,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 5000 ms -16 bit - Rhythm = 8642 ms
-1,2,1,Dayside Nadir,UVIS Switch OFF
-1,3,14,Dayside Nadir,UVIS Switch OFF
-1,4,1,Dayside Nadir,UVIS Switch OFF
145,5,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 15000 ms -16 bit - Rhythm = 31041 ms
68,6,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
64,7,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 5000 ms -16 bit - Rhythm = 8642 ms
-1,8,14,Dayside Nadir,UVIS Switch OFF
-1,9,1,Dayside Nadir,UVIS Switch OFF
-1,10,14,Dayside Nadir,UVIS Switch OFF
-1,11,1,Dayside Nadir,UVIS Switch OFF
72,12,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,13,1,Dayside Nadir,UVIS Switch OFF
-1,14,14,Dayside Nadir,UVIS Switch OFF
72,15,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,16,14,Dayside Nadir,UVIS Switch OFF
-1,17,1,Dayside Nadir,UVIS Switch OFF
-1,18,14,Dayside Nadir,UVIS Switch OFF
-1,19,1,Dayside Nadir,UVIS Switch OFF
-1,20,14,Dayside Nadir,UVIS Switch OFF
-1,21,1,Dayside Nadir,UVIS Switch OFF
68,22,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
-1,23,14,Dayside Nadir,UVIS Switch OFF
-1,24,1,Dayside Nadir,UVIS Switch OFF
-1,25,14,Dayside Nadir,UVIS Switch OFF
-1,26,1,Dayside Nadir,UVIS Switch OFF
-1,27,1,Dayside Nadir,UVIS Switch OFF
79,28,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,29,1,Dayside Nadir,UVIS Switch OFF
-1,30,14,Dayside Nadir,UVIS Switch OFF
68,31,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
-1,32,1,Dayside Nadir,UVIS Switch OFF
-1,33,14,Dayside Nadir,UVIS Switch OFF
-1,34,1,Dayside Nadir,UVIS Switch OFF
72,35,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
72,36,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,37,14,Dayside Nadir,UVIS Switch OFF
-1,38,1,Dayside Nadir,UVIS Switch OFF
64,39,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 5000 ms -16 bit - Rhythm = 8642 ms
-1,40,1,Dayside Nadir,UVIS Switch OFF
72,41,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
72,42,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,43,14,Dayside Nadir,UVIS Switch OFF
-1,44,1,Dayside Nadir,UVIS Switch OFF
72,45,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,46,1,Dayside Nadir,UVIS Switch OFF
-1,47,47,Dayside Nadir,UVIS Switch OFF
-1,48,1,Dayside Nadir,UVIS Switch OFF
-1,49,14,Dayside Nadir,UVIS Switch OFF
-1,50,1,Dayside Nadir,UVIS Switch OFF
-1,51,14,Dayside Nadir,UVIS Switch OFF
-1,52,14,Dayside Nadir,UVIS Switch OFF
-1,53,14,Dayside Nadir,UVIS Switch OFF
-1,54,1,Dayside Nadir,UVIS Switch OFF
79,55,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,56,14,Dayside Nadir,UVIS Switch OFF
-1,57,1,Dayside Nadir,UVIS Switch OFF
-1,58,14,Dayside Nadir,UVIS Switch OFF
-1,59,47,Dayside Nadir,UVIS Switch OFF
72,60,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,61,1,Dayside Nadir,UVIS Switch OFF
64,62,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 5000 ms -16 bit - Rhythm = 8642 ms
-1,63,1,Dayside Nadir,UVIS Switch OFF
-1,64,14,Dayside Nadir,UVIS Switch OFF
-1,65,14,Dayside Nadir,UVIS Switch OFF
-1,66,1,Dayside Nadir,UVIS Switch OFF
64,67,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 5000 ms -16 bit - Rhythm = 8642 ms
-1,68,1,Dayside Nadir,UVIS Switch OFF
72,69,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,70,14,Dayside Nadir,UVIS Switch OFF
-1,71,47,Dayside Nadir,UVIS Switch OFF
