MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2022 DEC 24 04:18:00,16.5189,-41.8734,274.8507,14.4439,40.0082,4.9682e-14,40.0082,2022 DEC 24 03:45:00,21.1895,-37.1089,403.0764,14.2261,39.2696,1.9658,40.9496
2022 DEC 24 13:45:00,36.4569,178.9832,291.144,14.3667,49.6141,9.0047e-15,49.6141,2022 DEC 24 13:39:00,34.3737,-178.3207,412.9891,14.4492,49.0784,0.049522,49.0806
2022 DEC 24 15:36:00,32.6455,152.2332,288.2142,14.3842,47.3665,2.3801e-14,47.3665,2022 DEC 24 15:36:00,31.6374,151.9564,410.2114,14.3658,46.5682,0.050225,46.5864
2022 DEC 24 17:30:00,38.3637,124.082,291.7388,14.3569,50.7555,5.4349e-14,50.7555,2022 DEC 24 17:36:00,37.632,124.7512,412.8756,14.4989,51.5533,0.051569,51.537
2022 DEC 24 19:21:00,34.6924,97.3155,287.739,14.3733,48.5078,3.5993e-14,48.5078,2022 DEC 24 19:33:00,35.1944,94.3103,410.5245,14.3678,48.7713,5.3839,52.367
2022 DEC 24 21:12:00,31.1705,70.5268,285.0252,14.3883,46.4842,2.0116e-14,46.4842,2022 DEC 24 21:30:00,32.4955,65.9648,409.9252,14.3764,47.1567,4.5435,44.6263
2022 DEC 26 06:57:00,50.2997,-63.7308,300.2124,14.2917,58.4554,3.7633e-14,58.4554,2022 DEC 26 07:00:00,48.3092,-60.7674,421.5813,14.5378,58.6795,0.072801,58.6145
2022 DEC 26 08:48:00,46.698,-90.418,297.6046,14.3133,55.9312,2.6988e-14,55.9312,2022 DEC 26 08:57:00,45.9019,-91.0373,419.4208,14.4181,56.1169,1.1201,56.6781
2022 DEC 26 10:39:00,43.1573,-117.0827,294.5421,14.3364,53.5617,4.8445e-14,53.5617,2022 DEC 26 10:54:00,43.3711,-120.7213,418.1943,14.3372,53.7158,0.52642,53.4701
2022 DEC 28 00:06:00,54.6632,54.9302,304.1675,14.2597,61.2413,2.8625e-14,61.2413,2022 DEC 28 00:18:00,53.9768,55.0735,424.9022,14.4639,61.8943,0.3486,61.7161
2022 DEC 28 01:57:00,51.0513,28.4613,302.8032,14.2958,58.6986,1.5581e-14,58.6986,2022 DEC 28 02:15:00,51.3464,24.534,422.9873,14.3261,59.1035,0.42014,59.0233
2022 DEC 29 11:39:00,60.4521,-105.0812,306.733,14.1983,65.1726,4.6337e-14,65.1726,2022 DEC 29 11:42:00,58.5283,-102.2466,426.4232,14.4358,64.8147,0.14219,64.724
2022 DEC 29 13:30:00,56.9445,-131.411,304.1735,14.2439,62.6131,5.4813e-14,62.6131,2022 DEC 29 13:39:00,56.0924,-133.1548,426.1901,14.2736,62.1065,0.16213,62.0033
2022 DEC 31 02:54:00,59.5451,42.158,307.5531,14.2222,64.2329,1.3494e-14,64.2329,2022 DEC 31 02:57:00,58.7233,42.312,422.115,14.2811,63.868,62.032,3.4373
2022 DEC 31 06:39:00,61.5416,-12.7727,308.2352,14.2106,65.7301,5.4355e-14,65.7301,2022 DEC 31 06:57:00,61.0635,-16.1785,428.3069,14.2756,65.6323,0.15756,65.5728
2023 JAN 01 20:03:00,63.7383,160.7525,312.3188,14.1861,67.0705,2.8492e-14,67.0705,2023 JAN 01 20:18:00,63.0565,156.4347,429.2723,14.1417,66.346,0.10787,66.2738
2023 JAN 15 16:51:00,74.5121,-21.8126,314.0573,13.985,72.5599,3.5958e-14,72.5599,2023 JAN 15 16:30:00,74.6929,-18.3567,434.2375,13.8747,72.4973,0.15414,72.4978
2023 JAN 18 21:30:00,75.7436,-61.7968,314.9848,13.9367,72.8699,2.736e-14,72.8699,2023 JAN 18 21:09:00,75.3564,-59.1543,433.3443,13.7719,72.2414,0.16156,72.2456
2023 JAN 19 03:06:00,74.5545,-142.8807,313.5059,13.9825,71.9025,2.1336e-14,71.9025,2023 JAN 19 03:03:00,75.4838,-143.5341,435.1421,13.8903,72.5155,0.11972,72.3961
