TC20 UVIS_COP_ROW,Dayside nadir observation number,Orbit type,Observation Mode,Comments
-1,1,14,Dayside Nadir,UVIS Switch OFF
-1,2,1,Dayside Nadir,UVIS Switch OFF
64,3,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 5000 ms -16 bit - Rhythm = 8642 ms
-1,4,1,Dayside Nadir,UVIS Switch OFF
-1,5,47,Dayside Nadir,UVIS Switch OFF
145,6,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 15000 ms -16 bit - Rhythm = 31041 ms
79,7,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,8,1,Dayside Nadir,UVIS Switch OFF
-1,9,14,Dayside Nadir,UVIS Switch OFF
-1,10,1,Dayside Nadir,UVIS Switch OFF
-1,11,47,Dayside Nadir,UVIS Switch OFF
-1,12,14,Dayside Nadir,UVIS Switch OFF
-1,13,14,Dayside Nadir,UVIS Switch OFF
72,14,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
68,15,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
-1,16,1,Dayside Nadir,UVIS Switch OFF
-1,17,1,Dayside Nadir,UVIS Switch OFF
68,18,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
-1,19,1,Dayside Nadir,UVIS Switch OFF
-1,20,14,Dayside Nadir,UVIS Switch OFF
72,21,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,22,14,Dayside Nadir,UVIS Switch OFF
-1,23,14,Dayside Nadir,UVIS Switch OFF
-1,24,1,Dayside Nadir,UVIS Switch OFF
-1,25,1,Dayside Nadir,UVIS Switch OFF
-1,26,7,Dayside Nadir,UVIS Switch OFF
-1,27,14,Dayside Nadir,UVIS Switch OFF
-1,28,14,Dayside Nadir,UVIS Switch OFF
72,29,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
