TC20 UVIS_COP_ROW,Dayside nadir observation number,Orbit type,Observation Mode,Comments
95,1,14,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 20000 ms -20 bit - Rhythm = 22017 ms
-1,2,5,Dayside Nadir,UVIS Switch OFF
-1,3,5,Dayside Nadir,UVIS Switch OFF
89,4,3,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
89,5,5,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
-1,6,5,Dayside Nadir,UVIS Switch OFF
-1,7,14,Dayside Nadir,UVIS Switch OFF
145,8,5,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 15000 ms -16 bit - Rhythm = 31041 ms
-1,9,5,Dayside Nadir,UVIS Switch OFF
-1,10,5,Dayside Nadir,UVIS Switch OFF
-1,11,5,Dayside Nadir,UVIS Switch OFF
-1,12,5,Dayside Nadir,UVIS Switch OFF
-1,13,5,Dayside Nadir,UVIS Switch OFF
-1,14,14,Dayside Nadir,UVIS Switch OFF
89,15,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
-1,16,14,Dayside Nadir,UVIS Switch OFF
-1,17,1,Dayside Nadir,UVIS Switch OFF
-1,18,1,Dayside Nadir,UVIS Switch OFF
-1,19,14,Dayside Nadir,UVIS Switch OFF
89,20,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
89,21,3,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
-1,22,1,Dayside Nadir,UVIS Switch OFF
-1,23,1,Dayside Nadir,UVIS Switch OFF
89,24,14,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
-1,25,1,Dayside Nadir,UVIS Switch OFF
-1,26,14,Dayside Nadir,UVIS Switch OFF
89,27,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
-1,28,1,Dayside Nadir,UVIS Switch OFF
-1,29,14,Dayside Nadir,UVIS Switch OFF
-1,30,47,Dayside Nadir,UVIS Switch OFF
-1,31,47,Dayside Nadir,UVIS Switch OFF
-1,32,14,Dayside Nadir,UVIS Switch OFF
-1,33,1,Dayside Nadir,UVIS Switch OFF
-1,34,14,Dayside Nadir,UVIS Switch OFF
89,35,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
89,36,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
