Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	41	Nightside	2021 MAY 15 14:29:27	2021 MAY 15 14:58:52	2021 MAY 15 15:28:16	3529.01	22.78	73.24	-171.61	71.49	-9.40	-71.48	140.57	2.65	14	-	-	-		
1	41	Dayside	2021 MAY 15 15:28:16	2021 MAY 15 15:57:48	2021 MAY 15 16:27:19	3542.84	-171.61	-120.82	-6.17	-71.48	10.82	71.45	39.32	14.67	14	-		COP row -1: 		
2	41	Nightside	2021 MAY 15 16:27:19	2021 MAY 15 16:56:44	2021 MAY 15 17:26:09	3529.74	-6.17	44.32	159.39	71.45	-9.43	-71.43	140.80	2.64	1	-	-	-		
2	41	Dayside	2021 MAY 15 17:26:09	2021 MAY 15 17:55:41	2021 MAY 15 18:25:14	3544.76	159.39	-149.76	-35.21	-71.43	10.82	71.41	39.08	14.65	1	-		COP row -1: 		
3	41	Nightside	2021 MAY 15 18:25:14	2021 MAY 15 18:54:39	2021 MAY 15 19:24:05	3531.22	-35.21	15.35	130.33	71.41	-9.41	-71.39	141.04	2.62	3	-	-	-		
3	41	Dayside	2021 MAY 15 19:24:05	2021 MAY 15 19:53:38	2021 MAY 15 20:23:10	3545.66	130.33	-178.72	-64.13	-71.39	10.86	71.37	38.83	14.64	3	Surface Ice 3SUBD 01	Science: orders #199, #194, #188, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&mroOverlap; 	
4	41	Nightside	2021 MAY 15 20:23:10	2021 MAY 15 20:52:37	2021 MAY 15 21:22:03	3532.86	-64.13	-13.62	101.43	71.37	-9.42	-71.35	141.29	2.60	1	-	-	-		
4	41	Dayside	2021 MAY 15 21:22:03	2021 MAY 15 21:51:36	2021 MAY 15 22:21:08	3544.65	101.43	152.31	-92.93	-71.35	10.92	71.35	38.57	14.62	1	-		COP row -1: 	&daysideMatch:AEOLIS MENSAE MFF; 	
5	41	Nightside	2021 MAY 15 22:21:08	2021 MAY 15 22:50:35	2021 MAY 15 23:20:02	3534.08	-92.93	-42.58	72.72	71.35	-9.50	-71.34	141.55	2.58	3	-	-	-		
5	41	Dayside	2021 MAY 15 23:20:02	2021 MAY 15 23:49:33	2021 MAY 16 00:19:05	3542.55	72.72	123.35	-121.63	-71.34	10.98	71.34	38.32	14.60	3	Surface Ice 4SUBD 02	Science: orders #199, #189, #188, #187, with 195000us integration time (4 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&mroOverlap; 	
6	41	Nightside	2021 MAY 16 00:19:05	2021 MAY 16 00:48:31	2021 MAY 16 01:17:58	3533.40	-121.63	-71.53	44.10	71.34	-9.60	-71.34	141.81	2.57	1	-	-	-		
6	41	Dayside	2021 MAY 16 01:17:58	2021 MAY 16 01:47:29	2021 MAY 16 02:16:59	3541.16	44.10	94.42	-150.30	-71.34	11.05	71.33	38.08	14.59	1	-		COP row -1: 		
7	41	Nightside	2021 MAY 16 02:16:59	2021 MAY 16 02:46:25	2021 MAY 16 03:15:50	3530.82	-150.30	-100.45	15.35	71.33	-9.65	-71.32	142.04	2.55	1	-	-	-		
7	41	Dayside	2021 MAY 16 03:15:50	2021 MAY 16 03:45:21	2021 MAY 16 04:14:52	3541.68	15.35	65.51	-179.10	-71.32	11.14	71.31	37.84	14.57	1	CH4 3SUBD 01	Science: orders #134, #136, #168, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&mroOverlap; 	
8	41	Nightside	2021 MAY 16 04:14:52	2021 MAY 16 04:44:17	2021 MAY 16 05:13:42	3530.32	-179.10	-129.37	-13.66	71.31	-9.66	-71.28	142.27	2.54	14	-	-	-		
8	41	Dayside	2021 MAY 16 05:13:42	2021 MAY 16 05:43:14	2021 MAY 16 06:12:45	3543.25	-13.66	36.58	151.84	-71.28	11.14	71.26	37.62	14.56	14	-		COP row -1: 		
9	41	Nightside	2021 MAY 16 06:12:45	2021 MAY 16 06:42:12	2021 MAY 16 07:11:38	3532.69	151.84	-158.31	-42.64	71.26	-9.68	-71.23	142.51	2.52	1	-	-	-		
9	41	Dayside	2021 MAY 16 07:11:38	2021 MAY 16 07:41:10	2021 MAY 16 08:10:42	3544.07	-42.64	7.62	122.84	-71.23	11.12	71.21	37.38	14.54	1	-		COP row -1: 		
10	41	Nightside	2021 MAY 16 08:10:42	2021 MAY 16 08:40:09	2021 MAY 16 09:09:35	3533.34	122.84	172.72	-71.51	71.21	-9.74	-71.20	142.77	2.50	3	-	-	-		
10	41	Dayside	2021 MAY 16 09:09:35	2021 MAY 16 09:39:08	2021 MAY 16 10:08:40	3544.89	-71.51	-21.35	94.01	-71.20	11.16	71.19	37.12	14.52	3	Surface 3SUBD #3	Science: orders #189, #194, #196, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; &daysideMatch:MAWRTH VALLIS; 	
11	41	Nightside	2021 MAY 16 10:08:40	2021 MAY 16 10:38:06	2021 MAY 16 11:07:32	3532.04	94.01	143.75	-100.30	71.19	-9.78	-71.18	143.03	2.49	1	-	-	-		
11	41	Dayside	2021 MAY 16 11:07:32	2021 MAY 16 11:37:05	2021 MAY 16 12:06:38	3545.40	-100.30	-50.32	65.34	-71.18	11.25	71.18	36.85	14.50	1	-		COP row -1: 		
12	41	Nightside	2021 MAY 16 12:06:38	2021 MAY 16 12:36:03	2021 MAY 16 13:05:28	3530.07	65.34	114.80	-129.00	71.18	-9.84	-71.17	143.28	2.47	14	-	-	-		
12	41	Dayside	2021 MAY 16 13:05:28	2021 MAY 16 13:35:00	2021 MAY 16 14:04:33	3544.81	-129.00	-79.25	36.69	-71.17	11.35	71.17	36.60	14.49	14	-		COP row -1: 		
13	41	Nightside	2021 MAY 16 14:04:33	2021 MAY 16 14:33:57	2021 MAY 16 15:03:21	3528.74	36.69	85.87	-157.70	71.17	-9.91	-71.16	143.51	2.45	1	-	-	-		
