Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Grazing solar occultation observation number,Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),SO start time (UTC),SO end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),Limb Height 250 km: entry (UTC),Min. Limb Height switch SCI1 to SCI2 (UTC),Limb Height 250 km: exit (UTC),Min. Limb Height (km),Latitude probed @ min. limb height (deg),Longitude probed @ min. limb height (deg),Beta angle (deg),Local Solar Time (LST): TGO2SUN vector surface intercept point @ min. limb height (h),Solar longitude Ls (deg),SO+SINBAD data volume (Mbit),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),Channel(s)+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
5,5,1,48,34021,0,0,0,1,0,2025 JUL 09 11:34:37,2025 JUL 09 12:16:44,2025 JUL 09 11:34:47,2025 JUL 09 12:16:44,N/A,N/A,2025 JUL 09 11:42:07,2025 JUL 09 12:16:44,2025 JUL 09 11:42:37,2025 JUL 09 11:59:47,2025 JUL 09 12:16:14,0.31532,-16.79,174.3279,64.0432,17.4825,108.1305,197.6638,N/A,376.2317,572.7666,10,480,1510,30,30,2517,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,2077,300,1123,1400002C000A01E005E61E1E09D50301000D000D0000000000000000000000000000000001C2081D012C0463
5,5,2,49,34022,0,0,0,1,0,2025 JUL 09 13:32:39,2025 JUL 09 14:14:30,2025 JUL 09 13:32:49,2025 JUL 09 14:14:30,N/A,N/A,2025 JUL 09 13:40:09,2025 JUL 09 14:14:30,2025 JUL 09 13:40:39,2025 JUL 09 13:57:42,2025 JUL 09 14:14:00,7.1177,-16.9007,145.5822,64.294,17.4792,108.1677,196.1496,N/A,373.3334,568.3628,10,480,1503,30,30,2501,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,2061,300,1084,1400002C000A01E005DF1E1E09C50301000D000D0000000000000000000000000000000001C2080D012C043C
5,5,3,51,34024,0,0,0,1,0,2025 JUL 09 17:28:39,2025 JUL 09 18:10:09,2025 JUL 09 17:28:49,2025 JUL 09 18:10:09,N/A,N/A,2025 JUL 09 17:36:09,2025 JUL 09 18:10:09,2025 JUL 09 17:36:39,2025 JUL 09 17:53:30,2025 JUL 09 18:09:39,17.5504,-17.341,87.9905,64.715,17.4647,108.2422,194.1621,N/A,369.5294,562.5828,10,480,1491,30,30,2480,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,2040,300,1285,1400002C000A01E005D31E1E09B00301000D000D0000000000000000000000000000000001C207F8012C0505
5,5,4,52,34025,0,0,0,1,0,2025 JUL 09 19:26:32,2025 JUL 09 20:07:54,2025 JUL 09 19:26:42,2025 JUL 09 20:07:54,N/A,N/A,2025 JUL 09 19:34:02,2025 JUL 09 20:07:54,2025 JUL 09 19:34:32,2025 JUL 09 19:51:19,2025 JUL 09 20:07:24,22.0711,-17.6356,59.1776,64.8955,17.4553,108.2794,193.405,N/A,368.0803,560.3809,10,480,1487,30,30,2472,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,2032,300,1265,1400002C000A01E005CF1E1E09A80301000D000D0000000000000000000000000000000001C207F0012C04F1
5,5,5,54,34027,0,0,0,1,0,2025 JUL 09 23:22:23,2025 JUL 10 00:03:13,2025 JUL 09 23:22:33,2025 JUL 10 00:03:13,N/A,N/A,2025 JUL 09 23:29:53,2025 JUL 10 00:03:13,2025 JUL 09 23:30:23,2025 JUL 09 23:46:58,2025 JUL 10 00:02:43,34.9227,-17.9581,1.6797,65.3275,17.4447,108.3538,190.3764,N/A,362.2837,551.5733,10,480,1475,30,30,2440,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,2000,300,1189,1400002C000A01E005C31E1E09880301000D000D0000000000000000000000000000000001C207D0012C04A5
5,5,6,55,34028,0,0,0,1,0,2025 JUL 10 01:20:31,2025 JUL 10 02:01:00,2025 JUL 10 01:20:41,2025 JUL 10 02:01:00,N/A,N/A,2025 JUL 10 01:28:01,2025 JUL 10 02:01:00,2025 JUL 10 01:28:31,2025 JUL 10 01:44:51,2025 JUL 10 02:00:30,42.3559,-18.2047,-27.1264,65.5586,17.4367,108.3911,188.3889,N/A,358.4798,545.7933,10,480,1460,30,30,2419,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,1979,300,1132,1400002C000A01E005B41E1E09730301000D000D0000000000000000000000000000000001C207BB012C046C
5,5,7,56,34029,0,0,0,1,0,2025 JUL 10 03:18:34,2025 JUL 10 03:58:45,2025 JUL 10 03:18:44,2025 JUL 10 03:58:45,N/A,N/A,2025 JUL 10 03:26:04,2025 JUL 10 03:58:45,2025 JUL 10 03:26:34,2025 JUL 10 03:42:44,2025 JUL 10 03:58:15,48.7309,-18.466,-55.9402,65.7855,17.4281,108.4283,186.6854,N/A,355.2192,540.8391,10,480,1450,30,30,2401,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,1961,300,1086,1400002C000A01E005AA1E1E09610301000D000D0000000000000000000000000000000001C207A9012C043E
5,5,8,57,34030,0,0,0,1,0,2025 JUL 10 05:16:29,2025 JUL 10 05:56:27,2025 JUL 10 05:16:39,2025 JUL 10 05:56:27,N/A,N/A,2025 JUL 10 05:23:59,2025 JUL 10 05:56:27,2025 JUL 10 05:24:29,2025 JUL 10 05:40:36,2025 JUL 10 05:55:57,54.0614,-18.6981,-84.7355,65.9995,17.4206,108.4655,185.455,N/A,352.8644,537.261,10,480,1447,30,30,2388,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,1948,300,1057,1400002C000A01E005A71E1E09540301000D000D0000000000000000000000000000000001C2079C012C0421
5,5,9,58,34031,0,0,0,1,0,2025 JUL 10 07:14:21,2025 JUL 10 07:54:09,2025 JUL 10 07:14:31,2025 JUL 10 07:54:09,N/A,N/A,2025 JUL 10 07:21:51,2025 JUL 10 07:54:09,2025 JUL 10 07:22:21,2025 JUL 10 07:38:16,2025 JUL 10 07:53:39,58.5987,-19.4335,-113.7375,66.1936,17.3958,108.5027,184.5086,N/A,351.0529,534.5086,10,480,1435,30,30,2378,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,1938,300,1025,1400002C000A01E0059B1E1E094A0301000D000D0000000000000000000000000000000001C20792012C0401
5,5,10,248,34221,0,0,0,1,0,2025 JUL 25 19:56:35,2025 JUL 25 20:36:10,2025 JUL 25 19:56:45,2025 JUL 25 20:36:10,N/A,N/A,2025 JUL 25 20:04:05,2025 JUL 25 20:36:10,2025 JUL 25 20:04:35,2025 JUL 25 20:19:52,2025 JUL 25 20:35:40,61.3267,-16.6868,41.2405,66.2728,6.4831,115.6256,183.2782,N/A,348.6981,530.9305,10,480,1397,30,30,2365,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,1925,300,961,1400002C000A01E005751E1E093D0301000D000D0000000000000000000000000000000001C20785012C03C1
5,5,11,249,34222,0,0,0,1,0,2025 JUL 25 21:54:24,2025 JUL 25 22:34:12,2025 JUL 25 21:54:34,2025 JUL 25 22:34:12,N/A,N/A,2025 JUL 25 22:01:54,2025 JUL 25 22:34:12,2025 JUL 25 22:02:24,2025 JUL 25 22:17:44,2025 JUL 25 22:33:42,56.2326,-16.3414,12.3976,66.0559,6.4722,115.6634,184.5086,N/A,351.0529,534.5086,10,480,1400,30,30,2378,3,1,13,13,0,0,0,0,0,0,0,0,0,0,450,1938,300,990,1400002C000A01E005781E1E094A0301000D000D0000000000000000000000000000000001C20792012C03DE
