Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Dayside nadir observation number,Thermal orbit/dayside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),SubSC latitude (deg) @ TC20 execution start time (UTC),SubSC longitude (deg) @ TC20 execution start time (UTC),SubSC LST @ TC20 execution start time (h),SubSC phase angle (deg) @ TC20 execution start time (UTC),SubSC solar incidence angle (deg) @ TC20 execution start time (UTC),SubSC emission angle (deg) @ TC20 execution start time (UTC),SubSC latitude (deg) @ TC20 execution end time (UTC),SubSC longitude (deg) @ TC20 execution end time (UTC),SubSC LST @ TC20 execution end time (h),SubSC phase angle (deg) @ TC20 execution end time (UTC),SubSC solar incidence angle (deg) @ TC20 execution end time (UTC),SubSC emission angle (deg) @ TC20 execution end time (UTC),Beta angle (deg),Solar longitude Ls (deg),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),LNO+UVIS+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
3,3,1,1,3538,1,0,0,0,0,2018 SEP 08 15:58:56,2018 SEP 08 17:11:30,2018 SEP 08 15:59:06,2018 SEP 08 17:11:21,2018 SEP 08 15:59:06,2018 SEP 08 17:11:29,-14.2281,-20.1702,3.0356,121.8876,121.8876,1.9083e-14,54.1397,161.8486,16.3467,95.2994,95.2994,1.5903e-14,28.1665,246.172,25.8748,437.282,460.7948,0,0,0,0,0,0,0,0,0,0,10,640,2485,30,30,4335,1,1,1844,1844,10,4343,104,1206,1400002C00000000000000000000000000000000000A028009B51E1E10EF010107340734000A10F7006804B6
1,1,2,2,3539,1,0,0,0,0,2018 SEP 08 18:06:52,2018 SEP 08 19:09:25,2018 SEP 08 18:07:02,2018 SEP 08 19:09:17,2018 SEP 08 18:07:02,2018 SEP 08 19:09:24,-43.4102,-39.699,3.8078,95.272,95.272,2.915e-14,54.3161,132.9732,16.3333,95.3071,95.3071,3.9979e-14,27.939,246.2284,21.7833,376.7694,396.5183,0,0,0,0,0,0,0,0,0,0,10,640,2185,30,30,3735,1,1,1844,1844,10,3742,104,980,1400002C00000000000000000000000000000000000A028008891E1E0E97010107340734000A0E9E006803D4
4,4,3,3,3540,0,1,0,0,0,2018 SEP 08 20:04:45,2018 SEP 08 20:37:51,N/A,N/A,2018 SEP 08 20:04:55,2018 SEP 08 20:37:50,-43.5839,-68.6107,3.7917,95.29,95.29,1.8271e-14,-30.2573,77.1153,14.0433,28.3082,28.3082,1.5903e-14,27.7483,246.2803,N/A,198.8616,198.8616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1975,104,368,1400002C0000000000000000000000000000000000000000000000000000000000000000000A07B700680170
4,4,4,3,3540,0,1,0,0,0,2018 SEP 08 20:37:56,2018 SEP 08 20:58:25,N/A,N/A,2018 SEP 08 20:38:06,2018 SEP 08 20:58:24,-30.0148,77.1917,14.0497,28.3573,28.3573,7.9514e-15,29.7749,91.6366,15.345,71.6297,71.6297,1.8081e-14,27.6668,246.2949,N/A,122.6418,122.6418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1218,104,376,1400002C0000000000000000000000000000000000000000000000000000000000000000000A04C200680178
4,4,5,3,3541,0,1,0,0,0,2018 SEP 08 20:58:30,2018 SEP 08 21:07:18,N/A,N/A,2018 SEP 08 20:58:40,2018 SEP 08 21:07:18,30.0141,91.7112,15.3514,71.8512,71.8512,3.8701e-14,54.5179,104.1417,16.3228,95.3469,95.3469,2.6988e-14,27.6544,246.304,N/A,52.1611,52.1611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,518,104,186,1400002C0000000000000000000000000000000000000000000000000000000000000000000A0206006800BA
1,1,6,4,3541,1,0,0,0,0,2018 SEP 08 22:02:36,2018 SEP 08 23:05:08,2018 SEP 08 22:02:46,2018 SEP 08 23:05:01,2018 SEP 08 22:02:46,2018 SEP 08 23:05:07,-43.7406,-97.4549,3.7794,95.2846,95.2846,6.0142e-14,54.6201,75.3236,16.3119,95.3337,95.3337,2.7035e-14,27.5267,246.3322,21.7833,376.6687,396.4176,0,0,0,0,0,0,0,0,0,0,10,640,2185,30,30,3735,1,1,1844,1844,10,3741,104,979,1400002C00000000000000000000000000000000000A028008891E1E0E97010107340734000A0E9D006803D3
4,4,7,5,3542,0,1,0,0,0,2018 SEP 09 00:00:28,2018 SEP 09 00:33:28,N/A,N/A,2018 SEP 09 00:00:38,2018 SEP 09 00:33:27,-43.8641,-126.2738,3.7692,95.2832,95.2832,1.3114e-14,-30.2506,19.2065,14.0031,27.7838,27.7838,3.0005e-14,27.2704,246.3841,N/A,198.2574,198.2574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1969,104,362,1400002C0000000000000000000000000000000000000000000000000000000000000000000A07B10068016A
4,4,8,5,3542,0,1,0,0,0,2018 SEP 09 00:33:33,2018 SEP 09 00:54:03,N/A,N/A,2018 SEP 09 00:33:43,2018 SEP 09 00:54:02,-30.0084,19.2831,14.0094,27.8315,27.8315,2.6228e-14,29.7537,33.8041,15.31,71.2913,71.2913,1.7128e-14,27.1856,246.3987,N/A,122.7425,122.7425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1219,104,377,1400002C0000000000000000000000000000000000000000000000000000000000000000000A04C300680179
4,4,9,5,3543,0,1,0,0,0,2018 SEP 09 00:54:08,2018 SEP 09 01:03:02,N/A,N/A,2018 SEP 09 00:54:18,2018 SEP 09 01:03:02,29.9925,33.8789,15.3164,71.5136,71.5136,5.4069e-14,54.7206,46.5748,16.3069,95.3609,95.3609,2.8625e-14,27.1651,246.4078,N/A,52.7653,52.7653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,524,104,192,1400002C0000000000000000000000000000000000000000000000000000000000000000000A020C006800C0
1,1,10,6,3543,1,0,0,0,0,2018 SEP 09 01:58:22,2018 SEP 09 03:00:58,2018 SEP 09 01:58:32,2018 SEP 09 03:00:47,2018 SEP 09 01:58:32,2018 SEP 09 03:00:57,-43.9706,-155.1516,3.7556,95.3202,95.3202,5.059e-14,54.8157,17.7383,16.2967,95.3474,95.3474,2.8625e-14,27.0188,246.4361,21.7833,377.0714,396.8204,0,0,0,0,0,0,0,0,0,0,10,640,2185,30,30,3735,1,1,1844,1844,10,3745,104,983,1400002C00000000000000000000000000000000000A028008891E1E0E97010107340734000A0EA1006803D7
