Target Name,Flyover #,Orbit type,Thermal orbit number,Start crossing time (UTC),End crossing time (UTC),Start crossing latitude (deg),Start crossing longitude (deg),End crossing latitude (deg),End crossing longitude (deg),Start crossing phase angle (deg),End crossing phase angle (deg),Start crossing solar incidence angle (deg),End crossing solar incidence angle (deg),Start crossing emission angle (deg),End crossing emission angle (deg),Start crossing LST (h),End crossing LST (h)
Region of residual magnetic field,1,3,5,2025 MAY 10 22:35:00,2025 MAY 10 22:53:15,-10.1004,-161.71,-62.7047,-140,112.9152,134.9998,118.3001,134.6787,5.3949,0.55131,19.7719,21.5156
Region of residual magnetic field,2,1,9,2025 MAY 11 06:57:08,2025 MAY 11 06:59:43,-69.8994,-154.1364,-63.8718,-140,112.953,112.9441,121.3328,116.1229,8.3809,3.1844,4.4231,5.4075
Region of residual magnetic field,3,3,17,2025 MAY 11 22:09:56,2025 MAY 11 22:22:04,-10.1015,-149.1927,-45.7451,-140,112.8254,132.2098,115.4255,132.0239,2.621,0.60045,19.5608,20.3703
Region of residual magnetic field,4,1,21,2025 MAY 12 06:32:02,2025 MAY 12 06:32:18,-69.8979,-141.653,-69.3559,-140,113.6936,113.3131,122.4145,121.9897,8.7219,8.6778,4.2089,4.3233
Region of residual magnetic field,5,3,34,2025 MAY 13 08:04:47,2025 MAY 13 08:08:30,-69.8948,-157.5346,-60.9983,-140,115.5241,112.8254,123.3808,117.1246,7.8567,4.2998,4.0153,5.2444
Region of residual magnetic field,6,1,45,2025 MAY 14 05:31:31,2025 MAY 14 05:32:34,-67.4752,150.0815,-69.8909,155.8598,131.449,131.3062,131.1469,130.9949,0.51451,0.48964,21.3972,21.7997
Region of residual magnetic field,7,3,46,2025 MAY 14 07:39:43,2025 MAY 14 07:40:29,-69.8915,-144.1379,-68.1604,-140,118.1433,115.6969,124.1352,123.2503,5.9919,7.5534,3.8622,4.1508
Region of residual magnetic field,8,1,57,2025 MAY 15 05:02:40,2025 MAY 15 05:07:27,-57.8003,150.0401,-69.8911,168.7004,129.2014,130.6616,128.9727,130.3588,0.5757,0.49159,20.2869,21.6086
Region of residual magnetic field,9,1,59,2025 MAY 15 09:12:30,2025 MAY 15 09:17:29,-69.8889,-159.2373,-57.423,-140,121.4818,112.9441,124.8214,118.1992,3.3398,5.2603,3.7217,5.0847
Region of residual magnetic field,10,1,69,2025 MAY 16 04:27:55,2025 MAY 16 04:42:19,-30.0332,150.0126,-69.8912,-178.4767,115.6838,129.9709,115.6144,129.6771,0.52327,0.49308,19.0822,21.4164
Region of residual magnetic field,11,3,70,2025 MAY 16 06:39:49,2025 MAY 16 06:40:13,-68.9997,150.0936,-69.8909,152.4388,129.7942,129.872,129.5063,129.5795,0.50203,0.49313,21.2272,21.39
