TC20 UVIS_COP_ROW,Dayside nadir observation number,Orbit type,Observation Mode,Comments
64,1,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 5000 ms -16 bit - Rhythm = 8642 ms
-1,2,1,Dayside Nadir,UVIS Switch OFF
-1,3,14,Dayside Nadir,UVIS Switch OFF
-1,4,14,Dayside Nadir,UVIS Switch OFF
-1,5,1,Dayside Nadir,UVIS Switch OFF
145,6,47,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 15000 ms -16 bit - Rhythm = 31041 ms
-1,7,14,Dayside Nadir,UVIS Switch OFF
-1,8,1,Dayside Nadir,UVIS Switch OFF
72,9,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,10,14,Dayside Nadir,UVIS Switch OFF
-1,11,1,Dayside Nadir,UVIS Switch OFF
79,12,28,Dayside LIMB,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,13,1,Dayside Nadir,UVIS Switch OFF
64,14,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 5000 ms -16 bit - Rhythm = 8642 ms
-1,15,1,Dayside Nadir,UVIS Switch OFF
79,16,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,17,14,Dayside Nadir,UVIS Switch OFF
-1,18,47,Dayside Nadir,UVIS Switch OFF
-1,19,1,Dayside Nadir,UVIS Switch OFF
72,20,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,21,1,Dayside Nadir,UVIS Switch OFF
-1,22,14,Dayside Nadir,UVIS Switch OFF
-1,23,1,Dayside Nadir,UVIS Switch OFF
-1,24,1,Dayside Nadir,UVIS Switch OFF
-1,25,14,Dayside Nadir,UVIS Switch OFF
-1,26,1,Dayside Nadir,UVIS Switch OFF
-1,27,14,Dayside Nadir,UVIS Switch OFF
79,28,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,29,1,Dayside Nadir,UVIS Switch OFF
-1,30,1,Dayside Nadir,UVIS Switch OFF
64,31,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 5000 ms -16 bit - Rhythm = 8642 ms
-1,32,1,Dayside Nadir,UVIS Switch OFF
72,33,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,34,1,Dayside Nadir,UVIS Switch OFF
-1,35,1,Dayside Nadir,UVIS Switch OFF
68,36,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
-1,37,1,Dayside Nadir,UVIS Switch OFF
72,38,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,39,1,Dayside Nadir,UVIS Switch OFF
64,40,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 5000 ms -16 bit - Rhythm = 8642 ms
-1,41,1,Dayside Nadir,UVIS Switch OFF
-1,42,1,Dayside Nadir,UVIS Switch OFF
79,43,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,44,1,Dayside Nadir,UVIS Switch OFF
-1,45,14,Dayside Nadir,UVIS Switch OFF
-1,46,1,Dayside Nadir,UVIS Switch OFF
-1,47,14,Dayside Nadir,UVIS Switch OFF
-1,48,1,Dayside Nadir,UVIS Switch OFF
-1,49,1,Dayside Nadir,UVIS Switch OFF
68,50,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
72,51,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,52,14,Dayside Nadir,UVIS Switch OFF
72,53,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,54,1,Dayside Nadir,UVIS Switch OFF
79,55,7,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,56,1,Dayside Nadir,UVIS Switch OFF
72,57,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,58,1,Dayside Nadir,UVIS Switch OFF
-1,59,1,Dayside Nadir,UVIS Switch OFF
-1,60,14,Dayside Nadir,UVIS Switch OFF
-1,61,1,Dayside Nadir,UVIS Switch OFF
68,62,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
72,63,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,64,3,Dayside Nadir,UVIS Switch OFF
72,65,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,66,1,Dayside Nadir,UVIS Switch OFF
79,67,7,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,68,1,Dayside Nadir,UVIS Switch OFF
