S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2020 SEP 15 16:45:00,-69.8232,72.0235,248.8585,15.4628,54.0774,3.4403e-14,54.0774
TGO,2020 SEP 15 16:33:00,-70.8863,70.9227,380.2073,15.1947,53.4625,0.49153,53.451

MRO,2020 SEP 16 02:06:00,-69.3553,-64.7793,248.5506,15.4381,53.7624,5.7338e-14,53.7624
TGO,2020 SEP 16 02:24:00,-67.8199,-64.1509,381.7003,15.7719,54.7547,0.49198,54.772

MRO,2020 SEP 17 11:45:00,-68.4106,163.4916,249.9096,15.3908,53.1566,6.853e-14,53.1566
TGO,2020 SEP 17 11:48:00,-68.6166,161.6401,380.8771,15.3161,52.9003,0.43559,52.9349

MRO,2020 SEP 19 01:09:00,-64.9822,-23.444,252.3046,15.3114,51.2257,7.9514e-15,51.2257
TGO,2020 SEP 19 01:09:00,-66.9431,-24.7092,380.828,15.2272,51.7133,0.95046,52.6309

MRO,2020 SEP 25 12:21:00,-52.3687,-131.2613,251.4412,15.1053,44.9768,1.4918e-14,44.9768
TGO,2020 SEP 25 12:30:00,-50.4973,-132.3457,379.975,15.1789,45.0108,0.55383,45.0585

MRO,2020 SEP 26 20:09:00,-47.9551,123.9409,251.6362,15.055,43.1713,3.0005e-14,43.1713
TGO,2020 SEP 26 19:57:00,-49.2443,124.993,380.1881,14.9306,42.4214,0.55056,42.4544

MRO,2020 SEP 26 23:54:00,-45.421,69.0161,250.877,15.0414,42.3532,1.0356e-13,42.3532
TGO,2020 SEP 26 23:54:00,-45.9539,69.4392,379.2232,15.0694,42.773,2.6527,40.1566

MRO,2020 SEP 28 15:12:00,-35.7287,-145.5473,253.8843,14.9697,39.977,5.3316e-14,39.977
TGO,2020 SEP 28 15:15:00,-37.392,-146.383,381.7274,14.9628,40.0595,0.57111,40.17

MRO,2020 OCT 03 07:33:00,4.2206,12.2144,269.6354,14.7875,49.4038,7.9514e-15,49.4038
TGO,2020 OCT 03 07:30:00,4.4034,13.1633,393.6886,14.8022,49.6896,0.86876,49.2082

