TC20 UVIS_COP_ROW,Dayside nadir observation number,Orbit type,Observation Mode,Comments
-1,1,14,Dayside Nadir,UVIS Switch OFF
-1,2,1,Dayside Nadir,UVIS Switch OFF
64,3,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 5000 ms -16 bit - Rhythm = 8642 ms
-1,4,1,Dayside Nadir,UVIS Switch OFF
-1,5,14,Dayside Nadir,UVIS Switch OFF
-1,6,47,Dayside Nadir,UVIS Switch OFF
-1,7,14,Dayside Nadir,UVIS Switch OFF
-1,8,1,Dayside Nadir,UVIS Switch OFF
-1,9,14,Dayside Nadir,UVIS Switch OFF
64,10,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 5000 ms -16 bit - Rhythm = 8642 ms
72,11,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,12,1,Dayside Nadir,UVIS Switch OFF
-1,13,14,Dayside Nadir,UVIS Switch OFF
145,14,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 15000 ms -16 bit - Rhythm = 31041 ms
-1,15,14,Dayside Nadir,UVIS Switch OFF
-1,16,1,Dayside Nadir,UVIS Switch OFF
-1,17,1,Dayside Nadir,UVIS Switch OFF
-1,18,14,Dayside Nadir,UVIS Switch OFF
-1,19,14,Dayside Nadir,UVIS Switch OFF
-1,20,1,Dayside Nadir,UVIS Switch OFF
72,21,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
79,22,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,23,1,Dayside Nadir,UVIS Switch OFF
-1,24,14,Dayside Nadir,UVIS Switch OFF
64,25,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 5000 ms -16 bit - Rhythm = 8642 ms
-1,26,1,Dayside Nadir,UVIS Switch OFF
-1,27,14,Dayside Nadir,UVIS Switch OFF
79,28,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
64,29,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 5000 ms -16 bit - Rhythm = 8642 ms
