TC20 UVIS_COP_ROW,Dayside nadir observation number,Orbit type,Observation Mode,Comments
-1,1,14,Dayside Nadir,UVIS Switch OFF
-1,2,14,Dayside Nadir,UVIS Switch OFF
-1,3,14,Dayside Nadir,UVIS Switch OFF
-1,4,14,Dayside Nadir,UVIS Switch OFF
-1,5,14,Dayside Nadir,UVIS Switch OFF
-1,6,3,Dayside Nadir,UVIS Switch OFF
-1,7,14,Dayside Nadir,UVIS Switch OFF
-1,8,14,Dayside Nadir,UVIS Switch OFF
-1,9,14,Dayside Nadir,UVIS Switch OFF
72,10,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,11,14,Dayside Nadir,UVIS Switch OFF
72,12,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,13,14,Dayside Nadir,UVIS Switch OFF
-1,14,14,Dayside Nadir,UVIS Switch OFF
-1,15,14,Dayside Nadir,UVIS Switch OFF
-1,16,14,Dayside Nadir,UVIS Switch OFF
-1,17,14,Dayside Nadir,UVIS Switch OFF
145,18,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 15000 ms -16 bit - Rhythm = 31041 ms
-1,19,14,Dayside Nadir,UVIS Switch OFF
-1,20,14,Dayside Nadir,UVIS Switch OFF
-1,21,14,Dayside Nadir,UVIS Switch OFF
-1,22,14,Dayside Nadir,UVIS Switch OFF
-1,23,14,Dayside Nadir,UVIS Switch OFF
-1,24,3,Dayside Nadir,UVIS Switch OFF
-1,25,14,Dayside Nadir,UVIS Switch OFF
-1,26,14,Dayside Nadir,UVIS Switch OFF
-1,27,14,Dayside Nadir,UVIS Switch OFF
68,28,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
72,29,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,30,14,Dayside Nadir,UVIS Switch OFF
79,31,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,32,14,Dayside Nadir,UVIS Switch OFF
-1,33,14,Dayside Nadir,UVIS Switch OFF
68,34,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
-1,35,14,Dayside Nadir,UVIS Switch OFF
-1,36,14,Dayside Nadir,UVIS Switch OFF
-1,37,14,Dayside Nadir,UVIS Switch OFF
-1,38,14,Dayside Nadir,UVIS Switch OFF
-1,39,14,Dayside Nadir,UVIS Switch OFF
-1,40,14,Dayside Nadir,UVIS Switch OFF
-1,41,14,Dayside Nadir,UVIS Switch OFF
72,42,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,43,3,Dayside Nadir,UVIS Switch OFF
-1,44,14,Dayside Nadir,UVIS Switch OFF
72,45,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,46,14,Dayside Nadir,UVIS Switch OFF
-1,47,3,Dayside Nadir,UVIS Switch OFF
72,48,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,49,14,Dayside Nadir,UVIS Switch OFF
-1,50,14,Dayside Nadir,UVIS Switch OFF
-1,51,14,Dayside Nadir,UVIS Switch OFF
-1,52,14,Dayside Nadir,UVIS Switch OFF
-1,53,14,Dayside Nadir,UVIS Switch OFF
-1,54,14,Dayside Nadir,UVIS Switch OFF
-1,55,14,Dayside Nadir,UVIS Switch OFF
-1,56,14,Dayside Nadir,UVIS Switch OFF
-1,57,14,Dayside Nadir,UVIS Switch OFF
-1,58,14,Dayside Nadir,UVIS Switch OFF
-1,59,14,Dayside Nadir,UVIS Switch OFF
-1,60,14,Dayside Nadir,UVIS Switch OFF
79,61,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
72,62,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
68,63,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
79,64,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
72,65,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,66,14,Dayside Nadir,UVIS Switch OFF
-1,67,14,Dayside Nadir,UVIS Switch OFF
-1,68,14,Dayside Nadir,UVIS Switch OFF
-1,69,7,Dayside Nadir,UVIS Switch OFF
-1,70,14,Dayside Nadir,UVIS Switch OFF
-1,71,14,Dayside Nadir,UVIS Switch OFF
68,72,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
-1,73,14,Dayside Nadir,UVIS Switch OFF
72,74,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,75,14,Dayside Nadir,UVIS Switch OFF
-1,76,14,Dayside Nadir,UVIS Switch OFF
68,77,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
-1,78,14,Dayside Nadir,UVIS Switch OFF
79,79,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,80,14,Dayside Nadir,UVIS Switch OFF
-1,81,14,Dayside Nadir,UVIS Switch OFF
-1,82,3,Dayside Nadir,UVIS Switch OFF
