TC20 UVIS_COP_ROW,Dayside nadir observation number,Orbit type,Observation Mode,Comments
-1,1,14,Dayside Nadir,UVIS Switch OFF
81,2,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 5000 ms -20 bit - Rhythm = 12409 ms
89,3,14,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
-1,4,1,Dayside Nadir,UVIS Switch OFF
-1,5,14,Dayside Nadir,UVIS Switch OFF
-1,6,1,Dayside Nadir,UVIS Switch OFF
-1,7,47,Dayside Nadir,UVIS Switch OFF
-1,8,14,Dayside Nadir,UVIS Switch OFF
81,9,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 5000 ms -20 bit - Rhythm = 12409 ms
-1,10,14,Dayside Nadir,UVIS Switch OFF
89,11,14,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
-1,12,14,Dayside Nadir,UVIS Switch OFF
145,13,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 15000 ms -16 bit - Rhythm = 31041 ms
-1,14,1,Dayside Nadir,UVIS Switch OFF
89,15,14,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
64,16,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 5000 ms -16 bit - Rhythm = 8642 ms
-1,17,14,Dayside Nadir,UVIS Switch OFF
-1,18,1,Dayside Nadir,UVIS Switch OFF
-1,19,47,Dayside Nadir,UVIS Switch OFF
89,20,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
-1,21,14,Dayside Nadir,UVIS Switch OFF
81,22,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 5000 ms -20 bit - Rhythm = 12409 ms
89,23,14,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
89,24,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
-1,25,14,Dayside Nadir,UVIS Switch OFF
-1,26,14,Dayside Nadir,UVIS Switch OFF
89,27,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
-1,28,1,Dayside Nadir,UVIS Switch OFF
89,29,14,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
81,30,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 5000 ms -20 bit - Rhythm = 12409 ms
95,31,14,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 20000 ms -20 bit - Rhythm = 22017 ms
89,32,14,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
-1,33,1,Dayside Nadir,UVIS Switch OFF
-1,34,1,Dayside Nadir,UVIS Switch OFF
-1,35,14,Dayside Nadir,UVIS Switch OFF
79,36,28,Dayside LIMB,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
95,37,14,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 20000 ms -20 bit - Rhythm = 22017 ms
-1,38,1,Dayside Nadir,UVIS Switch OFF
89,39,14,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
-1,40,1,Dayside Nadir,UVIS Switch OFF
-1,41,1,Dayside Nadir,UVIS Switch OFF
89,42,14,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
95,43,14,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 20000 ms -20 bit - Rhythm = 22017 ms
89,44,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
-1,45,14,Dayside Nadir,UVIS Switch OFF
95,46,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 20000 ms -20 bit - Rhythm = 22017 ms
-1,47,14,Dayside Nadir,UVIS Switch OFF
89,48,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
-1,49,3,Dayside Nadir,UVIS Switch OFF
-1,50,1,Dayside Nadir,UVIS Switch OFF
-1,51,14,Dayside Nadir,UVIS Switch OFF
95,52,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 20000 ms -20 bit - Rhythm = 22017 ms
-1,53,14,Dayside Nadir,UVIS Switch OFF
-1,54,1,Dayside Nadir,UVIS Switch OFF
-1,55,14,Dayside Nadir,UVIS Switch OFF
-1,56,14,Dayside Nadir,UVIS Switch OFF
-1,57,14,Dayside Nadir,UVIS Switch OFF
81,58,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 5000 ms -20 bit - Rhythm = 12409 ms
-1,59,1,Dayside Nadir,UVIS Switch OFF
89,60,14,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
-1,61,1,Dayside Nadir,UVIS Switch OFF
89,62,14,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
89,63,14,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
-1,64,1,Dayside Nadir,UVIS Switch OFF
-1,65,1,Dayside Nadir,UVIS Switch OFF
-1,66,14,Dayside Nadir,UVIS Switch OFF
145,67,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 15000 ms -16 bit - Rhythm = 31041 ms
-1,68,14,Dayside Nadir,UVIS Switch OFF
-1,69,1,Dayside Nadir,UVIS Switch OFF
-1,70,1,Dayside Nadir,UVIS Switch OFF
-1,71,14,Dayside Nadir,UVIS Switch OFF
89,72,1,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
-1,73,14,Dayside Nadir,UVIS Switch OFF
-1,74,14,Dayside Nadir,UVIS Switch OFF
89,75,14,Dayside Nadir,# NADIR: Horizontal Bin (57:245;0:1047)-Tint = 10000 ms -20 bit - Rhythm = 15364 ms
79,76,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,77,14,Dayside Nadir,UVIS Switch OFF
-1,78,1,Dayside Nadir,UVIS Switch OFF
-1,79,1,Dayside Nadir,UVIS Switch OFF
-1,80,14,Dayside Nadir,UVIS Switch OFF
-1,81,1,Dayside Nadir,UVIS Switch OFF
-1,82,14,Dayside Nadir,UVIS Switch OFF
-1,83,1,Dayside Nadir,UVIS Switch OFF
-1,84,14,Dayside Nadir,UVIS Switch OFF
