TC20 UVIS_COP_ROW,Dayside nadir observation number,Orbit type,Observation Mode,Comments
-1,1,14,Dayside Nadir,UVIS Switch OFF
-1,2,14,Dayside Nadir,UVIS Switch OFF
-1,3,14,Dayside Nadir,UVIS Switch OFF
-1,4,14,Dayside Nadir,UVIS Switch OFF
145,5,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 15000 ms -16 bit - Rhythm = 31041 ms
-1,6,14,Dayside Nadir,UVIS Switch OFF
-1,7,14,Dayside Nadir,UVIS Switch OFF
72,8,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,9,14,Dayside Nadir,UVIS Switch OFF
-1,10,14,Dayside Nadir,UVIS Switch OFF
72,11,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,12,14,Dayside Nadir,UVIS Switch OFF
-1,13,14,Dayside Nadir,UVIS Switch OFF
-1,14,14,Dayside Nadir,UVIS Switch OFF
68,15,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
-1,16,14,Dayside Nadir,UVIS Switch OFF
-1,17,14,Dayside Nadir,UVIS Switch OFF
72,18,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
79,19,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,20,14,Dayside Nadir,UVIS Switch OFF
72,21,5,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,22,5,Dayside Nadir,UVIS Switch OFF
-1,23,5,Dayside Nadir,UVIS Switch OFF
-1,24,1,Dayside Nadir,UVIS Switch OFF
-1,25,1,Dayside Nadir,UVIS Switch OFF
-1,26,1,Dayside Nadir,UVIS Switch OFF
72,27,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,28,1,Dayside Nadir,UVIS Switch OFF
-1,29,1,Dayside Nadir,UVIS Switch OFF
-1,30,14,Dayside Nadir,UVIS Switch OFF
-1,31,1,Dayside Nadir,UVIS Switch OFF
72,32,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,33,1,Dayside Nadir,UVIS Switch OFF
-1,34,14,Dayside Nadir,UVIS Switch OFF
72,35,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,36,14,Dayside Nadir,UVIS Switch OFF
68,37,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
72,38,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,39,14,Dayside Nadir,UVIS Switch OFF
-1,40,1,Dayside Nadir,UVIS Switch OFF
72,41,47,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,42,47,Dayside Nadir,UVIS Switch OFF
-1,43,14,Dayside Nadir,UVIS Switch OFF
68,44,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
-1,45,14,Dayside Nadir,UVIS Switch OFF
-1,46,1,Dayside Nadir,UVIS Switch OFF
-1,47,1,Dayside Nadir,UVIS Switch OFF
-1,48,14,Dayside Nadir,UVIS Switch OFF
-1,49,1,Dayside Nadir,UVIS Switch OFF
72,50,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,51,1,Dayside Nadir,UVIS Switch OFF
-1,52,14,Dayside Nadir,UVIS Switch OFF
-1,53,1,Dayside Nadir,UVIS Switch OFF
72,54,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,55,14,Dayside Nadir,UVIS Switch OFF
-1,56,1,Dayside Nadir,UVIS Switch OFF
-1,57,14,Dayside Nadir,UVIS Switch OFF
-1,58,3,Dayside Nadir,UVIS Switch OFF
-1,59,1,Dayside Nadir,UVIS Switch OFF
-1,60,14,Dayside Nadir,UVIS Switch OFF
79,61,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,62,1,Dayside Nadir,UVIS Switch OFF
-1,63,14,Dayside Nadir,UVIS Switch OFF
-1,64,1,Dayside Nadir,UVIS Switch OFF
-1,65,14,Dayside Nadir,UVIS Switch OFF
-1,66,1,Dayside Nadir,UVIS Switch OFF
-1,67,1,Dayside Nadir,UVIS Switch OFF
-1,68,47,Dayside Nadir,UVIS Switch OFF
72,69,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,70,14,Dayside Nadir,UVIS Switch OFF
68,71,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
68,72,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
-1,73,1,Dayside Nadir,UVIS Switch OFF
-1,74,14,Dayside Nadir,UVIS Switch OFF
-1,75,1,Dayside Nadir,UVIS Switch OFF
-1,76,14,Dayside Nadir,UVIS Switch OFF
-1,77,1,Dayside Nadir,UVIS Switch OFF
-1,78,14,Dayside Nadir,UVIS Switch OFF
-1,79,1,Dayside Nadir,UVIS Switch OFF
-1,80,14,Dayside Nadir,UVIS Switch OFF
