S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2025 DEC 21 21:51:00,77.1699,138.2407,318.1654,15.0408,86.5353,7.9514e-15,86.5353
TGO,2025 DEC 21 22:09:00,74.8592,137.6559,433.0655,15.2939,85.6577,3.0773,88.7331

MRO,2025 DEC 22 03:27:00,75.1897,57.7227,314.8243,15.1231,85.4424,1.7201e-14,85.4424
TGO,2025 DEC 22 04:03:00,74.9467,53.4188,433.5075,15.42,86.1464,3.6307,89.7755

MRO,2025 DEC 24 15:18:00,74.2056,-95.2109,316.4801,15.1742,85.5221,2.0151e-14,85.5221
TGO,2025 DEC 24 15:00:00,74.9873,-95.7475,434.8211,14.8464,85.1523,0.89406,86.0375

MRO,2025 DEC 25 08:09:00,77.244,16.668,317.9857,15.0314,87.3892,5.0289e-15,87.3892
TGO,2025 DEC 25 08:42:00,75.5111,11.9116,434.2603,15.2494,86.7773,1.9932,88.7671

MRO,2025 DEC 26 15:57:00,77.2645,-87.8587,316.4302,15.0106,87.674,3.2053e-15,87.674
TGO,2025 DEC 26 16:09:00,75.6716,-84.2112,434.9654,15.4483,87.7542,1.9521,89.703

