TC20 UVIS_COP_ROW,Ingress solar occultation observation number,Orbit type,Observation Mode,Comments
-1,1,1,Ingress Occultation,UVIS Switch OFF
391,2,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,3,1,Ingress Occultation,UVIS Switch OFF
-1,4,1,Ingress Occultation,UVIS Switch OFF
-1,5,1,Ingress Occultation,UVIS Switch OFF
364,6,1,Ingress Occultation,# SO: Full Frame (135:205;0:1047) - Tint = 75 ms -16 bit - Rhythm = 3574 ms
-1,7,1,Ingress Occultation,UVIS Switch OFF
-1,8,1,Ingress Occultation,UVIS Switch OFF
391,9,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,10,1,Ingress Occultation,UVIS Switch OFF
-1,11,1,Ingress Occultation,UVIS Switch OFF
391,12,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,13,1,Ingress Occultation,UVIS Switch OFF
364,14,1,Ingress Occultation,# SO: Full Frame (135:205;0:1047) - Tint = 75 ms -16 bit - Rhythm = 3574 ms
-1,15,1,Ingress Occultation,UVIS Switch OFF
-1,16,1,Ingress Occultation,UVIS Switch OFF
391,17,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,18,1,Ingress Occultation,UVIS Switch OFF
-1,19,1,Ingress Occultation,UVIS Switch OFF
391,20,1,Ingress Occultation,# SO: Horizontal Bin (135:205;0:1047)-Tint = 75 ms -20 bit - Rhythm = 1134 ms
-1,21,1,Ingress Occultation,UVIS Switch OFF
-1,22,1,Ingress Occultation,UVIS Switch OFF
-1,23,1,Ingress Occultation,UVIS Switch OFF
364,24,1,Ingress Occultation,# SO: Full Frame (135:205;0:1047) - Tint = 75 ms -16 bit - Rhythm = 3574 ms
-1,25,1,Ingress Occultation,UVIS Switch OFF
-1,26,1,Ingress Occultation,UVIS Switch OFF
