TC20 UVIS_COP_ROW,Dayside nadir observation number,Orbit type,Observation Mode,Comments
-1,1,3,Dayside Nadir,UVIS Switch OFF
72,2,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,3,1,Dayside Nadir,UVIS Switch OFF
-1,4,1,Dayside Nadir,UVIS Switch OFF
145,5,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 15000 ms -16 bit - Rhythm = 31041 ms
72,6,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
72,7,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,8,1,Dayside Nadir,UVIS Switch OFF
72,9,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,10,1,Dayside Nadir,UVIS Switch OFF
-1,11,1,Dayside Nadir,UVIS Switch OFF
-1,12,1,Dayside Nadir,UVIS Switch OFF
-1,13,14,Dayside Nadir,UVIS Switch OFF
72,14,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,15,1,Dayside Nadir,UVIS Switch OFF
-1,16,1,Dayside Nadir,UVIS Switch OFF
-1,17,14,Dayside Nadir,UVIS Switch OFF
72,18,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,19,14,Dayside Nadir,UVIS Switch OFF
-1,20,14,Dayside Nadir,UVIS Switch OFF
-1,21,7,Dayside Nadir,UVIS Switch OFF
-1,22,1,Dayside Nadir,UVIS Switch OFF
-1,23,14,Dayside Nadir,UVIS Switch OFF
-1,24,1,Dayside Nadir,UVIS Switch OFF
-1,25,1,Dayside Nadir,UVIS Switch OFF
-1,26,14,Dayside Nadir,UVIS Switch OFF
-1,27,14,Dayside Nadir,UVIS Switch OFF
-1,28,1,Dayside Nadir,UVIS Switch OFF
-1,29,14,Dayside Nadir,UVIS Switch OFF
-1,30,1,Dayside Nadir,UVIS Switch OFF
-1,31,1,Dayside Nadir,UVIS Switch OFF
-1,32,14,Dayside Nadir,UVIS Switch OFF
-1,33,14,Dayside Nadir,UVIS Switch OFF
-1,34,1,Dayside Nadir,UVIS Switch OFF
-1,35,14,Dayside Nadir,UVIS Switch OFF
-1,36,1,Dayside Nadir,UVIS Switch OFF
-1,37,1,Dayside Nadir,UVIS Switch OFF
68,38,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
-1,39,1,Dayside Nadir,UVIS Switch OFF
-1,40,14,Dayside Nadir,UVIS Switch OFF
-1,41,1,Dayside Nadir,UVIS Switch OFF
72,42,47,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,43,14,Dayside Nadir,UVIS Switch OFF
-1,44,1,Dayside Nadir,UVIS Switch OFF
-1,45,1,Dayside Nadir,UVIS Switch OFF
-1,46,7,Dayside Nadir,UVIS Switch OFF
-1,47,1,Dayside Nadir,UVIS Switch OFF
68,48,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
79,49,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,50,14,Dayside Nadir,UVIS Switch OFF
72,51,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,52,1,Dayside Nadir,UVIS Switch OFF
-1,53,14,Dayside Nadir,UVIS Switch OFF
-1,54,47,Dayside Nadir,UVIS Switch OFF
79,55,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,56,14,Dayside Nadir,UVIS Switch OFF
-1,57,1,Dayside Nadir,UVIS Switch OFF
-1,58,1,Dayside Nadir,UVIS Switch OFF
-1,59,14,Dayside Nadir,UVIS Switch OFF
-1,60,1,Dayside Nadir,UVIS Switch OFF
68,61,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
-1,62,1,Dayside Nadir,UVIS Switch OFF
-1,63,14,Dayside Nadir,UVIS Switch OFF
-1,64,14,Dayside Nadir,UVIS Switch OFF
-1,65,1,Dayside Nadir,UVIS Switch OFF
-1,66,14,Dayside Nadir,UVIS Switch OFF
-1,67,1,Dayside Nadir,UVIS Switch OFF
72,68,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,69,1,Dayside Nadir,UVIS Switch OFF
-1,70,1,Dayside Nadir,UVIS Switch OFF
-1,71,14,Dayside Nadir,UVIS Switch OFF
-1,72,1,Dayside Nadir,UVIS Switch OFF
-1,73,14,Dayside Nadir,UVIS Switch OFF
-1,74,1,Dayside Nadir,UVIS Switch OFF
68,75,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
79,76,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,77,1,Dayside Nadir,UVIS Switch OFF
-1,78,3,Dayside Nadir,UVIS Switch OFF
-1,79,1,Dayside Nadir,UVIS Switch OFF
72,80,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,81,1,Dayside Nadir,UVIS Switch OFF
68,82,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
-1,83,14,Dayside Nadir,UVIS Switch OFF
-1,84,1,Dayside Nadir,UVIS Switch OFF
-1,85,14,Dayside Nadir,UVIS Switch OFF
-1,86,14,Dayside Nadir,UVIS Switch OFF
-1,87,3,Dayside Nadir,UVIS Switch OFF
-1,88,1,Dayside Nadir,UVIS Switch OFF
68,89,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
-1,90,14,Dayside Nadir,UVIS Switch OFF
-1,91,1,Dayside Nadir,UVIS Switch OFF
72,92,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,93,1,Dayside Nadir,UVIS Switch OFF
-1,94,3,Dayside Nadir,UVIS Switch OFF
-1,95,1,Dayside Nadir,UVIS Switch OFF
-1,96,1,Dayside Nadir,UVIS Switch OFF
-1,97,3,Dayside Nadir,UVIS Switch OFF
-1,98,1,Dayside Nadir,UVIS Switch OFF
-1,99,3,Dayside Nadir,UVIS Switch OFF
79,100,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 20000 ms -16 bit - Rhythm = 22017 ms
-1,101,14,Dayside Nadir,UVIS Switch OFF
145,102,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 15000 ms -16 bit - Rhythm = 31041 ms
-1,103,1,Dayside Nadir,UVIS Switch OFF
68,104,3,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
72,105,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
-1,106,14,Dayside Nadir,UVIS Switch OFF
72,107,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 10000 ms -16 bit - Rhythm = 12017 ms
68,108,1,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
68,109,14,Dayside Nadir,# NADIR: Full Frame (57:245;0:1047) - Tint = 7000 ms -16 bit - Rhythm = 9017 ms
